record_id,city,transit_node_id,node_type,node_latitude,node_longitude,trip_date,time_of_day,day_type,weather_condition,distance_to_final_destination_km,avg_wait_time_min,transit_headway_min,crowding_index,congestion_index_node,last_mile_fare_inr,walk_time_min,alt_mode_availability_score,app_cab_wait_time_min,safety_perception_score,last_mile_infra_score,previous_negative_experience,commuter_age_group,commuter_gender,commuter_income_bracket,trip_purpose,trip_satisfaction_score,mode_chosen_last_mile,switched_to_private_vehicle
TRIP_002771,Mumbai,NODE_0040,Railway Station,19.17534,72.85269,2025-01-05,Evening Peak (17-20),Weekday,Extreme Heat,5.36,18.02,8.42,0.742,0.639,76.0,59.2,8.17,6.29,3.93,0.415,1,25-34,Female,Upper-Middle,Leisure,4.32,Auto-Rickshaw,0
TRIP_002772,Gurugram,NODE_0048,Railway Station,28.41208,77.13107,2025-01-19,Morning Peak (7-10),Weekday,Cloudy,2.82,10.85,7.57,0.546,0.652,54.2,37.1,3.65,2.26,6.42,0.515,0,55+,Female,Lower-Middle,Other,5.81,Auto-Rickshaw,0
TRIP_002773,Bengaluru,NODE_0107,Metro Station,13.10381,77.63477,2025-09-15,Evening Peak (17-20),Weekend,Cloudy,2.96,12.62,11.19,0.613,0.295,62.9,43.6,3.6,11.54,5.65,0.272,0,18-24,Male,Upper-Middle,Work Commute,5.83,Private Vehicle (Own),1
TRIP_002774,Mumbai,NODE_0004,Metro Station,19.07923,72.74631,2025-11-26,Midday (10-16),Weekday,Cloudy,0.43,8.45,4.37,0.636,0.424,19.8,4.8,3.17,5.57,3.59,0.434,0,18-24,Female,Low,Medical,5.54,E-Rickshaw,0
TRIP_002775,Pune,NODE_0064,Metro Station,18.52427,73.7155,2025-05-30,Morning Peak (7-10),Weekday,Cloudy,1.53,16.74,7.11,0.983,0.746,44.9,16.4,3.97,6.13,7.27,0.696,1,55+,Female,Middle,Leisure,4.64,Private Vehicle (Own),1
TRIP_002776,Pune,NODE_0014,Metro Station,18.44435,73.79433,2025-11-19,Evening Peak (17-20),Weekday,Clear,1.03,10.31,8.13,0.671,0.41,33.3,8.4,6.87,6.94,9.23,0.797,0,45-54,Male,Middle,Work Commute,7.67,E-Rickshaw,0
TRIP_002777,Gurugram,NODE_0108,Bus Terminal,28.37602,77.16218,2025-09-24,Evening Peak (17-20),Weekday,Extreme Heat,2.33,14.95,12.03,0.771,0.513,41.7,28.4,2.3,6.07,5.49,0.52,0,18-24,Male,Upper-Middle,Medical,5.87,Private Vehicle (Own),1
TRIP_002778,Delhi,NODE_0005,Metro Station,28.6318,77.24736,2025-10-22,Midday (10-16),Weekday,Clear,1.65,4.33,12.88,0.47,0.043,32.1,22.3,3.98,6.63,7.08,0.414,0,25-34,Male,Upper-Middle,Education,6.92,Walk,0
TRIP_002779,Pune,NODE_0003,Metro Station,18.43979,73.73513,2025-09-28,Evening Peak (17-20),Weekend,Cloudy,2.07,9.24,18.0,0.412,0.369,42.2,25.2,5.75,6.35,2.05,0.045,0,25-34,Female,Low,Work Commute,6.03,E-Rickshaw,0
TRIP_002780,Mumbai,NODE_0040,Railway Station,19.17534,72.85269,2025-03-14,Evening Peak (17-20),Weekday,Cloudy,2.66,14.77,8.21,0.688,0.727,55.7,35.0,8.61,7.01,5.65,0.415,1,18-24,Female,Upper-Middle,Work Commute,6.67,Auto-Rickshaw,0
TRIP_002781,Pune,NODE_0025,Bus Terminal,18.64629,73.81291,2025-07-11,Night (20-23),Weekday,Heavy Rain,0.41,6.67,12.7,0.352,0.352,18.6,4.2,4.97,5.67,5.79,0.849,1,18-24,Male,Middle,Shopping/Errand,6.85,Private Vehicle (Own),1
TRIP_002782,Delhi,NODE_0060,Bus Terminal,28.64274,77.32319,2025-07-11,Evening Peak (17-20),Weekend,Cloudy,1.14,11.04,5.4,0.634,0.201,33.6,10.6,2.19,6.31,6.13,0.676,0,25-34,Male,High,Shopping/Errand,4.95,Walk,0
TRIP_002783,Delhi,NODE_0036,Bus Terminal,28.56809,77.1863,2025-08-23,Morning Peak (7-10),Weekday,Cloudy,3.81,15.39,10.87,0.507,0.376,73.1,37.7,8.94,4.59,7.51,0.687,1,35-44,Female,Lower-Middle,Work Commute,6.78,App-based Cab/Bike,0
TRIP_002784,Mumbai,NODE_0043,Metro Station,18.99102,72.95439,2025-10-18,Midday (10-16),Weekday,Cloudy,1.64,13.49,5.49,0.741,0.905,33.6,15.8,7.36,6.89,7.35,0.742,0,25-34,Female,Lower-Middle,Work Commute,7.08,Auto-Rickshaw,0
TRIP_002785,Gurugram,NODE_0068,Metro Station,28.49187,77.13482,2025-02-11,Late Night (23-5),Weekday,Light Rain,3.4,3.71,6.31,0.486,0.353,53.0,44.9,1.2,9.19,3.23,0.065,0,25-34,Female,Lower-Middle,Work Commute,8.82,E-Rickshaw,0
TRIP_002786,Gurugram,NODE_0068,Metro Station,28.49187,77.13482,2025-09-04,Night (20-23),Weekday,Clear,6.05,9.24,10.7,0.459,0.457,81.1,80.5,0.0,7.62,4.66,0.065,0,25-34,Male,Low,Education,6.73,Feeder Bus,0
TRIP_002787,Gurugram,NODE_0113,BRT Stop,28.46949,76.91577,2025-11-01,Morning Peak (7-10),Weekday,Extreme Heat,4.16,15.55,15.38,0.606,0.539,82.5,42.7,8.39,7.18,5.56,0.617,0,18-24,Male,Middle,Education,6.09,Walk,0
TRIP_002788,Bengaluru,NODE_0058,BRT Stop,13.06061,77.67303,2025-02-12,Morning Peak (7-10),Weekday,Extreme Heat,0.64,17.38,11.49,0.37,0.303,28.7,5.9,4.93,4.5,7.28,0.722,1,35-44,Male,Lower-Middle,Leisure,5.55,Feeder Bus,0
TRIP_002789,Gurugram,NODE_0068,Metro Station,28.49187,77.13482,2025-06-01,Midday (10-16),Weekend,Clear,0.3,9.21,5.74,0.416,0.408,18.6,4.5,0.0,,3.03,0.065,0,35-44,Female,High,Work Commute,5.84,Private Vehicle (Own),1
TRIP_002790,Gurugram,NODE_0082,BRT Stop,28.44427,76.92656,2025-11-23,Night (20-23),Weekday,Clear,2.41,12.47,3.06,0.485,0.59,43.1,25.9,5.61,2.42,6.34,0.766,1,55+,Female,Upper-Middle,Work Commute,6.46,Feeder Bus,0
TRIP_002791,Mumbai,NODE_0021,Bus Terminal,18.96385,72.8859,2025-01-09,Night (20-23),Weekday,Extreme Heat,1.23,14.72,11.29,0.436,0.252,27.7,11.1,3.48,6.75,7.72,0.951,0,25-34,Female,Lower-Middle,Work Commute,6.94,Feeder Bus,0
TRIP_002792,Mumbai,NODE_0081,Railway Station,19.1949,72.97534,2025-02-28,Evening Peak (17-20),Weekday,Clear,2.36,13.82,6.88,0.81,0.766,43.5,24.3,4.89,6.18,,0.366,0,18-24,Male,Upper-Middle,Medical,3.96,Private Vehicle (Own),1
TRIP_002793,Hyderabad,NODE_0104,BRT Stop,17.4081,78.4204,2025-10-21,Morning Peak (7-10),Weekend,Clear,1.28,13.91,6.06,0.604,0.461,42.1,13.3,3.57,8.67,7.82,0.663,0,35-44,Male,Upper-Middle,Education,6.84,Feeder Bus,0
TRIP_002794,Gurugram,NODE_0039,Bus Terminal,28.5625,77.01756,2025-03-04,Night (20-23),Weekday,Clear,0.67,8.62,13.22,0.307,0.116,22.4,5.6,6.78,6.29,8.07,0.823,0,25-34,Female,Middle,Work Commute,6.61,Walk,0
TRIP_002795,Gurugram,NODE_0022,Bus Terminal,28.5474,77.16084,2025-09-14,Early Morning (5-7),Weekday,Clear,4.67,10.55,13.27,0.506,0.539,69.3,64.1,8.05,5.75,5.95,0.431,1,25-34,Male,High,Work Commute,5.11,Feeder Bus,0
TRIP_002796,Pune,NODE_0042,BRT Stop,18.42445,73.97553,2025-11-25,Midday (10-16),Weekday,Cloudy,2.53,15.49,3.0,0.661,0.899,46.1,24.4,5.3,6.2,6.7,0.922,0,35-44,Male,Low,Work Commute,4.34,Private Vehicle (Own),1
TRIP_002797,Gurugram,NODE_0034,Bus Terminal,28.47734,77.08583,2025-07-01,Midday (10-16),Weekday,Light Rain,1.47,4.88,13.87,0.371,0.169,29.4,16.2,4.62,7.16,5.71,0.371,0,25-34,Male,Upper-Middle,Shopping/Errand,6.25,App-based Cab/Bike,0
TRIP_002798,Delhi,NODE_0071,BRT Stop,28.59336,77.32834,2025-06-26,Midday (10-16),Weekend,Light Rain,8.66,3.01,8.96,0.388,0.174,131.9,80.4,7.89,5.77,8.56,0.728,0,25-34,Female,High,Education,6.89,App-based Cab/Bike,0
TRIP_002799,Hyderabad,NODE_0104,BRT Stop,17.4081,78.4204,2025-06-06,Evening Peak (17-20),Weekday,Clear,0.3,5.25,9.69,0.586,0.406,32.6,3.1,4.04,2.7,8.36,0.663,0,25-34,Male,Low,Shopping/Errand,5.5,Auto-Rickshaw,0
TRIP_002800,Gurugram,NODE_0072,Metro Station,28.42507,77.11163,2025-05-17,Morning Peak (7-10),Weekend,Cloudy,0.98,18.65,11.56,0.815,0.742,53.6,9.7,6.86,4.13,7.12,0.702,0,25-34,Male,Upper-Middle,Work Commute,5.66,Walk,0
TRIP_002801,Gurugram,NODE_0016,Metro Station,28.5238,76.92434,2025-05-19,Morning Peak (7-10),Weekday,Clear,4.87,9.63,8.26,0.368,0.346,82.1,50.9,3.53,8.39,6.67,0.807,1,18-24,Female,Lower-Middle,Work Commute,6.44,E-Rickshaw,0
TRIP_002802,Bengaluru,NODE_0038,Bus Terminal,12.97136,77.52861,2025-07-22,Evening Peak (17-20),Weekday,Cloudy,1.08,14.72,9.85,0.691,0.378,38.1,12.0,4.15,7.54,4.2,0.2,0,18-24,Female,Upper-Middle,Education,4.89,Feeder Bus,0
TRIP_002803,Pune,NODE_0083,Bus Terminal,18.46851,73.92039,2025-11-23,Early Morning (5-7),Weekday,Clear,1.68,3.77,8.08,0.358,0.189,37.7,22.1,10.0,5.07,3.93,0.464,0,35-44,Male,High,Work Commute,7.35,Feeder Bus,0
TRIP_002804,Mumbai,NODE_0040,Railway Station,19.17534,72.85269,2025-12-25,Midday (10-16),Weekend,Fog,4.46,16.08,9.9,0.594,0.604,53.6,52.9,8.72,5.88,6.05,0.415,0,18-24,Male,Middle,Work Commute,7.6,E-Rickshaw,0
TRIP_002805,Delhi,NODE_0071,BRT Stop,28.59336,77.32834,2025-11-13,Morning Peak (7-10),Weekday,Heavy Rain,1.64,16.46,12.39,0.373,0.377,44.0,15.6,7.74,2.0,7.49,0.728,0,25-34,Male,Lower-Middle,Work Commute,5.76,Private Vehicle (Own),1
TRIP_002806,Delhi,NODE_0084,Metro Station,28.61063,77.10791,2025-02-13,Morning Peak (7-10),Weekday,Light Rain,3.41,5.65,7.35,0.523,0.118,75.5,40.8,0.0,8.25,5.29,0.334,0,25-34,Male,Low,Shopping/Errand,6.25,App-based Cab/Bike,0
TRIP_002807,Mumbai,NODE_0040,Railway Station,19.17534,72.85269,2025-04-22,Morning Peak (7-10),Weekend,Cloudy,2.88,20.7,6.44,0.643,0.679,51.1,38.3,7.55,7.61,4.59,0.415,0,25-34,Male,Lower-Middle,Education,4.5,Private Vehicle (Own),1
TRIP_002808,Mumbai,NODE_0078,Railway Station,19.12572,72.87136,2025-10-04,Evening Peak (17-20),Weekday,Cloudy,5.97,16.07,13.13,0.679,0.688,80.4,63.4,7.41,7.93,5.7,0.551,1,18-24,Male,Middle,Work Commute,5.8,Private Vehicle (Own),1
TRIP_002809,Gurugram,NODE_0048,Railway Station,28.41208,77.13107,2025-07-19,Midday (10-16),Weekday,Clear,2.26,10.77,11.09,0.526,0.538,40.6,23.0,5.72,9.59,7.12,0.515,1,45-54,Male,Lower-Middle,Education,6.78,Private Vehicle (Own),1
TRIP_002810,Bengaluru,NODE_0017,BRT Stop,13.06497,77.72084,2025-05-03,Morning Peak (7-10),Weekday,Heavy Rain,1.89,19.83,11.14,0.727,0.301,37.8,19.7,4.87,10.93,5.87,0.682,0,18-24,Female,Upper-Middle,Work Commute,4.18,Private Vehicle (Own),1
TRIP_002811,Pune,NODE_0045,Bus Terminal,18.54137,73.99911,2025-04-24,Night (20-23),Weekend,Extreme Heat,6.58,13.79,13.04,0.564,0.46,69.7,85.9,6.96,3.66,7.39,0.533,0,45-54,Female,Low,Leisure,5.4,Feeder Bus,0
TRIP_002812,Pune,NODE_0053,Metro Station,18.64745,73.72713,2025-02-12,Morning Peak (7-10),Weekday,Fog,1.49,20.86,6.27,0.574,0.752,42.4,15.4,10.0,9.68,4.31,0.371,0,55+,Female,Lower-Middle,Shopping/Errand,6.62,Private Vehicle (Own),1
TRIP_002813,Pune,NODE_0001,Bus Terminal,18.61883,73.97937,2025-05-02,Evening Peak (17-20),Weekday,Cloudy,3.36,21.27,7.84,0.686,0.693,51.0,36.8,5.86,6.76,7.05,0.848,1,18-24,Female,Upper-Middle,Work Commute,5.34,Private Vehicle (Own),1
TRIP_002814,Gurugram,NODE_0108,Bus Terminal,28.37602,77.16218,2025-06-04,Morning Peak (7-10),Weekend,Light Rain,2.32,15.65,7.12,0.558,0.488,51.4,24.3,3.25,5.57,6.38,0.52,0,18-24,Female,Low,Leisure,7.56,Auto-Rickshaw,0
TRIP_002815,Pune,NODE_0064,Metro Station,18.52427,73.7155,2025-06-01,Night (20-23),Weekday,Clear,3.99,12.08,4.27,0.659,0.616,65.4,47.9,3.9,10.53,7.63,0.696,1,18-24,Female,Low,Work Commute,7.93,Private Vehicle (Own),1
TRIP_002816,Delhi,NODE_0005,Metro Station,28.6318,77.24736,2025-07-20,Early Morning (5-7),Weekday,Clear,2.29,5.57,9.48,0.209,0.02,44.2,22.6,4.31,12.36,5.04,0.414,0,45-54,Male,Upper-Middle,Work Commute,7.29,E-Rickshaw,0
TRIP_002817,Pune,NODE_0105,Metro Station,18.60479,73.87341,2025-04-10,Evening Peak (17-20),Weekday,Light Rain,1.73,12.54,8.73,0.787,0.754,41.8,15.8,5.16,9.77,9.01,0.809,1,55+,Male,Upper-Middle,Education,6.62,App-based Cab/Bike,0
TRIP_002818,Gurugram,NODE_0103,Bus Terminal,28.54027,77.16381,2025-03-17,Evening Peak (17-20),Weekday,Extreme Heat,4.54,21.67,9.61,0.901,0.857,58.0,61.9,3.47,6.29,5.79,0.47,0,35-44,Male,Middle,Leisure,5.19,Private Vehicle (Own),1
TRIP_002819,Bengaluru,NODE_0002,Bus Terminal,13.05905,77.47592,2025-11-20,Evening Peak (17-20),Weekday,Extreme Heat,2.12,19.17,14.95,0.557,0.229,40.9,23.6,2.79,6.19,4.08,0.336,1,55+,Female,Upper-Middle,Work Commute,7.76,Auto-Rickshaw,0
TRIP_002820,Mumbai,NODE_0020,Metro Station,19.09833,72.93891,2025-05-28,Evening Peak (17-20),Weekday,Extreme Heat,4.11,19.43,8.77,0.713,0.807,80.3,42.6,10.0,4.43,5.11,0.585,1,35-44,Male,Middle,Work Commute,6.96,E-Rickshaw,0
TRIP_002821,Gurugram,NODE_0044,Metro Station,28.37482,76.91318,2025-04-03,Morning Peak (7-10),Weekday,Clear,5.61,18.52,11.23,0.667,0.662,96.1,57.0,4.67,8.66,7.28,0.605,1,35-44,Male,Middle,Medical,3.86,E-Rickshaw,0
TRIP_002822,Mumbai,NODE_0061,Railway Station,19.1537,72.91688,2025-08-21,Midday (10-16),Weekend,Light Rain,4.35,3.57,14.11,0.349,0.146,59.7,37.1,3.58,5.49,7.81,0.838,0,45-54,Male,Upper-Middle,Medical,7.68,Walk,0
TRIP_002823,Bengaluru,NODE_0088,Bus Terminal,12.97982,77.62346,2025-07-17,Night (20-23),Weekday,Cloudy,0.73,5.68,13.3,0.417,0.36,22.9,6.5,6.86,8.57,8.2,0.803,0,25-34,Male,Lower-Middle,Leisure,7.97,Feeder Bus,0
TRIP_002824,Delhi,NODE_0051,Metro Station,28.70004,77.24971,2025-07-30,Night (20-23),Weekday,Cloudy,1.75,10.82,6.99,0.595,0.614,34.1,18.6,5.24,7.02,8.46,0.764,0,25-34,Male,Middle,Work Commute,8.39,Auto-Rickshaw,0
TRIP_002825,Gurugram,NODE_0074,Railway Station,28.41025,77.13139,2025-03-22,Midday (10-16),Weekday,Clear,2.07,17.39,6.02,0.777,0.708,40.9,21.1,6.38,5.89,5.38,0.525,0,35-44,Female,High,Education,6.8,E-Rickshaw,0
TRIP_002826,Bengaluru,NODE_0002,Bus Terminal,13.05905,77.47592,2025-09-21,Evening Peak (17-20),Weekend,Cloudy,3.78,7.78,11.38,0.265,0.206,74.4,47.0,3.02,7.52,6.14,0.336,0,35-44,Male,Lower-Middle,Work Commute,7.2,Auto-Rickshaw,0
TRIP_002827,Pune,NODE_0080,Metro Station,18.65466,73.889,2025-03-12,Evening Peak (17-20),Weekend,Clear,2.41,14.22,16.18,0.522,0.492,59.2,24.5,3.79,7.61,6.75,0.631,0,25-34,Male,Low,Work Commute,5.23,E-Rickshaw,0
TRIP_002828,Hyderabad,NODE_0110,Metro Station,17.25851,78.48251,2025-11-02,Evening Peak (17-20),Weekend,Light Rain,5.47,13.38,12.48,0.666,0.528,85.5,45.0,7.27,5.96,7.54,0.825,0,25-34,Female,Middle,Work Commute,6.49,Auto-Rickshaw,0
TRIP_002829,Pune,NODE_0064,Metro Station,18.52427,73.7155,2025-06-04,Night (20-23),Weekend,Fog,1.42,13.31,7.63,0.57,0.643,30.1,14.3,5.37,8.27,8.44,0.696,0,25-34,Female,Middle,Leisure,5.88,App-based Cab/Bike,0
TRIP_002830,Mumbai,NODE_0055,Metro Station,19.17307,72.7287,2025-05-30,Night (20-23),Weekend,Light Rain,4.45,8.1,10.33,0.567,0.326,62.3,52.8,2.2,8.84,8.04,0.725,0,18-24,Female,Middle,Work Commute,6.56,Feeder Bus,0
TRIP_002831,Delhi,NODE_0036,Bus Terminal,28.56809,77.1863,2025-05-22,Midday (10-16),Weekend,Clear,2.95,4.24,11.78,0.252,0.265,50.9,33.5,6.8,8.25,4.74,0.687,1,25-34,Female,Middle,Work Commute,7.08,E-Rickshaw,0
TRIP_002832,Delhi,NODE_0115,BRT Stop,28.5898,77.13342,2025-06-04,Evening Peak (17-20),Weekday,Cloudy,1.73,14.03,6.18,0.644,0.449,41.5,25.4,4.9,6.14,5.16,0.314,0,25-34,Male,Middle,Work Commute,5.85,Walk,0
TRIP_002833,Mumbai,NODE_0004,Metro Station,19.07923,72.74631,2025-08-31,Midday (10-16),Weekday,Cloudy,2.94,11.76,7.36,0.455,0.501,41.3,33.2,1.81,4.79,5.29,0.434,0,18-24,Male,Middle,Education,5.19,Walk,0
TRIP_002834,Bengaluru,NODE_0035,Metro Station,13.02421,77.44369,2025-07-01,Morning Peak (7-10),Weekday,Light Rain,8.16,8.3,12.73,0.366,0.252,129.8,79.0,8.4,10.46,7.59,0.838,0,18-24,Female,Upper-Middle,Shopping/Errand,6.05,Private Vehicle (Own),1
TRIP_002835,Bengaluru,NODE_0017,BRT Stop,13.06497,77.72084,2025-02-16,Night (20-23),Weekday,Clear,2.75,4.38,12.74,0.466,0.351,50.7,26.0,3.64,3.66,7.37,0.682,0,18-24,Male,Lower-Middle,Work Commute,,Feeder Bus,0
TRIP_002836,Hyderabad,NODE_0104,BRT Stop,17.4081,78.4204,2025-07-26,Evening Peak (17-20),Weekday,Cloudy,2.12,12.45,9.58,0.907,0.455,48.9,23.2,4.48,7.68,5.69,0.663,1,45-54,Male,Middle,Leisure,5.02,E-Rickshaw,0
TRIP_002837,Bengaluru,NODE_0058,BRT Stop,13.06061,77.67303,2025-04-08,Early Morning (5-7),Weekday,Extreme Heat,3.36,9.64,9.05,0.467,0.325,58.6,40.8,5.16,6.62,6.09,0.722,0,35-44,Female,Middle,Work Commute,,Walk,0
TRIP_002838,Bengaluru,NODE_0111,Metro Station,13.00485,77.56121,2025-02-09,Evening Peak (17-20),Weekday,Clear,2.52,8.7,11.45,0.523,0.445,45.6,23.2,3.41,6.53,7.29,0.955,0,18-24,Male,Upper-Middle,Work Commute,8.47,Private Vehicle (Own),1
TRIP_002839,Pune,NODE_0080,Metro Station,18.65466,73.889,2025-11-03,Morning Peak (7-10),Weekday,Light Rain,1.67,13.77,7.0,0.628,0.408,42.2,20.4,2.63,9.21,6.53,0.631,1,35-44,Male,Upper-Middle,Work Commute,5.52,E-Rickshaw,0
TRIP_002840,Bengaluru,NODE_0067,Metro Station,12.93553,77.51157,2025-04-25,Early Morning (5-7),Weekday,Extreme Heat,1.93,10.82,6.12,0.494,0.561,34.9,19.5,7.16,6.44,4.67,0.731,0,25-34,Female,Low,Work Commute,8.49,E-Rickshaw,0
TRIP_002841,Bengaluru,NODE_0063,Bus Terminal,12.98082,77.44163,2025-08-06,Evening Peak (17-20),Weekday,Heavy Rain,0.3,18.85,17.94,0.651,0.643,30.6,3.2,5.68,,6.22,0.622,1,35-44,Male,Middle,Other,4.82,E-Rickshaw,0
TRIP_002842,Pune,NODE_0025,Bus Terminal,18.64629,73.81291,2025-03-04,Evening Peak (17-20),Weekend,Extreme Heat,7.46,16.07,8.12,0.663,0.42,107.8,73.2,4.92,3.22,5.14,0.849,1,45-54,Male,Middle,Shopping/Errand,5.0,Private Vehicle (Own),1
TRIP_002843,Gurugram,NODE_0068,Metro Station,28.49187,77.13482,2025-05-04,Midday (10-16),Weekday,Heavy Rain,4.54,15.6,12.68,0.433,0.324,75.9,71.9,1.04,9.09,3.0,0.065,0,25-34,Female,Upper-Middle,Work Commute,7.26,Private Vehicle (Own),1
TRIP_002844,Pune,NODE_0083,Bus Terminal,18.46851,73.92039,2025-05-21,Early Morning (5-7),Weekday,Cloudy,0.41,2.38,9.87,0.413,0.223,19.0,4.7,7.31,3.95,5.45,0.464,0,25-34,Male,Middle,Other,8.96,Auto-Rickshaw,0
TRIP_002845,Pune,NODE_0116,Railway Station,18.52679,73.79141,2025-02-18,Evening Peak (17-20),Weekday,Cloudy,1.21,14.59,11.91,0.408,0.381,38.8,10.9,2.82,8.01,7.52,0.847,1,45-54,Female,Middle,Shopping/Errand,6.93,E-Rickshaw,0
TRIP_002846,Bengaluru,NODE_0066,Bus Terminal,12.95884,77.68044,2025-12-22,Early Morning (5-7),Weekday,Clear,1.7,2.43,14.44,0.488,0.072,34.7,21.0,6.82,4.81,4.88,0.327,0,18-24,Male,Lower-Middle,Work Commute,8.04,Auto-Rickshaw,0
TRIP_002847,Gurugram,NODE_0113,BRT Stop,28.46949,76.91577,2025-04-24,Night (20-23),Weekend,Clear,3.19,9.08,5.49,0.404,0.345,54.2,35.8,8.91,4.27,6.32,0.617,1,55+,Male,High,Medical,5.82,Feeder Bus,0
TRIP_002848,Bengaluru,NODE_0114,Bus Terminal,12.99173,77.48023,2025-08-01,Morning Peak (7-10),Weekday,Cloudy,3.45,10.46,8.47,0.704,0.842,67.8,33.7,5.24,7.47,8.35,0.812,0,55+,Female,Middle,Shopping/Errand,5.36,Private Vehicle (Own),1
TRIP_002849,Bengaluru,NODE_0063,Bus Terminal,12.98082,77.44163,2025-07-26,Night (20-23),Weekend,Clear,2.04,15.25,5.63,0.556,0.51,33.2,24.1,6.71,4.88,7.0,0.622,0,25-34,Male,Middle,Shopping/Errand,5.31,Auto-Rickshaw,0
TRIP_002850,Pune,NODE_0053,Metro Station,18.64745,73.72713,2025-06-06,Early Morning (5-7),Weekday,Clear,1.37,10.33,5.91,0.552,0.683,29.9,19.5,9.8,6.7,6.1,0.371,1,35-44,Female,Middle,Work Commute,5.49,Auto-Rickshaw,0
TRIP_002851,Delhi,NODE_0018,Bus Terminal,28.48158,77.18137,2025-08-02,Morning Peak (7-10),Weekend,Heavy Rain,0.65,21.89,12.28,0.75,0.899,24.4,7.4,4.04,7.03,5.6,0.542,1,55+,Female,Middle,Work Commute,6.11,Private Vehicle (Own),1
TRIP_002852,Gurugram,NODE_0033,Metro Station,28.31601,77.05648,2025-07-26,Midday (10-16),Weekday,Clear,3.37,14.35,5.99,0.663,0.652,61.9,34.9,6.98,7.31,,0.483,0,45-54,Male,Upper-Middle,Leisure,5.94,Auto-Rickshaw,0
TRIP_002853,Mumbai,NODE_0106,BRT Stop,19.15853,72.92993,2025-01-30,Evening Peak (17-20),Weekday,Clear,1.13,9.85,9.31,0.612,0.167,40.3,9.9,5.89,3.08,8.04,0.916,0,18-24,Female,Lower-Middle,Shopping/Errand,7.2,Feeder Bus,0
TRIP_002854,Bengaluru,NODE_0017,BRT Stop,13.06497,77.72084,2025-09-02,Late Night (23-5),Weekday,Light Rain,3.33,6.54,12.47,0.358,0.359,53.3,39.6,4.63,4.48,8.81,0.682,0,18-24,Male,Middle,Leisure,7.05,App-based Cab/Bike,0
TRIP_002855,Gurugram,NODE_0048,Railway Station,28.41208,77.13107,2025-02-11,Midday (10-16),Weekday,Clear,5.44,7.21,18.0,0.555,0.452,90.7,67.0,5.03,7.57,7.77,0.515,1,25-34,Female,Middle,Shopping/Errand,7.4,App-based Cab/Bike,0
TRIP_002856,Delhi,NODE_0084,Metro Station,28.61063,77.10791,2025-06-08,Morning Peak (7-10),Weekend,Cloudy,2.64,5.11,10.43,0.298,0.139,60.2,27.9,1.73,5.35,4.59,0.334,0,35-44,Other,Low,Medical,7.45,Auto-Rickshaw,0
TRIP_002857,Delhi,NODE_0029,Metro Station,28.48465,77.08554,2025-05-14,Early Morning (5-7),Weekend,Clear,0.95,6.15,7.43,0.54,0.411,22.8,11.0,6.58,7.0,7.77,0.79,1,25-34,Male,Lower-Middle,Work Commute,7.12,Feeder Bus,0
TRIP_002858,Mumbai,NODE_0117,Bus Terminal,19.14918,72.84837,2025-06-13,Evening Peak (17-20),Weekday,Light Rain,0.3,11.98,10.23,0.586,0.302,24.1,3.1,8.63,6.23,5.71,0.762,1,18-24,Female,Low,Work Commute,5.71,Auto-Rickshaw,0
TRIP_002859,Mumbai,NODE_0078,Railway Station,19.12572,72.87136,2025-01-27,Midday (10-16),Weekend,Cloudy,0.62,12.28,11.04,0.616,0.55,22.9,6.7,6.59,6.72,6.74,0.551,0,25-34,Male,Upper-Middle,Work Commute,6.56,Feeder Bus,0
TRIP_002860,Mumbai,NODE_0004,Metro Station,19.07923,72.74631,2025-09-14,Night (20-23),Weekday,Cloudy,5.05,8.56,12.75,0.446,0.546,81.4,58.2,3.58,6.15,5.69,0.434,0,25-34,Female,Lower-Middle,Work Commute,4.38,Private Vehicle (Own),1
TRIP_002861,Mumbai,NODE_0030,Metro Station,18.92634,72.97516,2025-06-02,Midday (10-16),Weekend,Clear,8.71,9.63,5.46,0.555,0.548,97.6,90.0,6.03,4.94,7.3,0.683,0,25-34,Male,High,Education,4.01,App-based Cab/Bike,0
TRIP_002862,Delhi,NODE_0089,Metro Station,28.63988,77.06635,2025-01-23,Evening Peak (17-20),Weekday,Light Rain,0.72,7.21,15.68,0.439,0.355,29.9,6.1,0.44,10.35,7.67,0.938,0,25-34,Male,High,Education,6.8,Feeder Bus,0
TRIP_002863,Hyderabad,NODE_0104,BRT Stop,17.4081,78.4204,2025-01-02,Night (20-23),Weekday,Clear,2.87,13.89,11.74,0.485,0.37,51.9,33.0,5.94,2.0,7.03,0.663,0,25-34,Male,Upper-Middle,Work Commute,6.53,App-based Cab/Bike,0
TRIP_002864,Delhi,NODE_0112,Metro Station,28.50139,77.19225,2025-07-17,Morning Peak (7-10),Weekday,Cloudy,3.79,12.19,8.64,0.425,0.204,71.8,35.7,4.5,3.83,9.45,0.761,0,35-44,Male,Low,Education,5.49,Walk,0
TRIP_002865,Gurugram,NODE_0103,Bus Terminal,28.54027,77.16381,2025-09-01,Midday (10-16),Weekday,Clear,4.65,12.02,7.21,0.85,0.785,55.2,45.1,5.14,8.48,6.1,0.47,1,25-34,Male,High,Work Commute,6.43,Private Vehicle (Own),1
